Title,Genres,Difficulty,AI Reasoning
"Courage Under Fire","Action, Drama, Mystery, War","Easy Mode","A prominent 90s war drama with major stars like Denzel Washington and Meg Ryan."
"The Snowtown Murders","Crime, Drama, Biography","Hard Mode","A critically acclaimed but intense Australian crime film that is niche outside of cinephile circles."
"White Squall","Adventure, Drama","Hard Mode","A Ridley Scott film that is less frequently discussed in his filmography compared to his major hits."
"Promised Land","Drama","Hard Mode","A drama written by and starring Matt Damon that received moderate attention but did not achieve blockbuster status."
"All the Bright Places","Drama, Romance","Hard Mode","A Young Adult adaptation that gained a specific following on Netflix but lacks universal global recognition."
"Oliver & Company","Animation, Adventure, Comedy, Family, Musical","Easy Mode","A Disney animated film that remains a staple of many childhoods."
"Kill Boksoon","Action, Crime, Thriller","Impossible Mode","A South Korean action film that, while successful on streaming, remains relatively obscure to the general global mainstream audience."
"Outland","Sci-Fi, Action, Thriller, Crime","Hard Mode","A sci-fi Western from the 80s that maintains a cult following but is not widely known to the general public."
"The Legend of Billie Jean","Action, Drama, Adventure","Hard Mode","A 1980s cult classic that is memorable to its fans but lacks widespread mainstream recognition today."
"Raees","Action, Crime, Drama","Hard Mode","Extremely famous in India and the South Asian diaspora, but less recognized globally outside of specific markets."
"Star Trek: Generations","Action, Adventure, Sci-Fi","Easy Mode","Part of a major global franchise with high brand recognition."
"Diary of a Wimpy Kid: Rodrick Rules","Comedy, Family","Easy Mode","Highly popular among younger audiences and based on a globally recognized book series."
"Shoot 'Em Up","Action, Comedy, Thriller","Hard Mode","A niche action film known among genre enthusiasts for its over-the-top style."
"Penguins of Madagascar","Animation, Adventure, Comedy","Easy Mode","A major animated studio production that reached a wide global audience."
"21 Bridges","Action, Crime, Thriller","Easy Mode","A recent mainstream action thriller featuring a major star that saw wide theatrical distribution."
"Ingrid Goes West","Comedy, Drama, Black Comedy","Hard Mode","A well-regarded indie dark comedy that is popular within film circles but not a household name."
"Shanghai Noon","Action, Adventure, Comedy, Western","Easy Mode","A successful buddy comedy that received significant global distribution."
"The Beyond","Horror, Supernatural, Mystery","Impossible Mode","A cult horror film primarily recognized by niche genre enthusiasts."
"Dreamgirls","Musical, Drama","Easy Mode","A highly successful, award-winning musical film with mainstream recognition."
"Tommy","Musical, Fantasy, Drama","Hard Mode","A well-known rock opera in specific music and film circles but less recognized by the general modern public."
"Star Trek III: The Search for Spock","Science Fiction, Adventure, Action","Easy Mode","Part of a globally recognized major film franchise."
"Victory","Sports, War, Drama, Action","Hard Mode","A known sports film featuring famous stars, yet fades into obscurity for the average viewer."
"Midnight Sun","Romance, Drama","Hard Mode","A romantic drama with moderate niche appeal among younger audiences."
"Epic","Animation, Adventure, Family, Fantasy","Easy Mode","A widely released animated feature by a major studio."
"Tuck Everlasting","Drama, Family, Fantasy, Romance","Hard Mode","Popular in literature circles, but the film adaptation is not a household name."
"Fame","Musical, Drama","Easy Mode","An iconic film and pop culture phenomenon."
"The Wedding Ringer","Comedy","Easy Mode","A mainstream Hollywood comedy with high visibility."
"*batteries not included","Sci-Fi, Comedy, Family, Fantasy","Easy Mode","A well-known 1980s family science fiction film that maintains cult status."
"Lethal Weapon 4","Action, Crime, Thriller","Easy Mode","Part of a massive, globally recognized action movie franchise."
"Happiest Season","Romance, Comedy, Drama","Easy Mode","A high-profile Hulu original romantic comedy with significant mainstream streaming popularity."
"The Command","Action, Drama, History, Thriller","Hard Mode","Often confused with other military-themed films; its international distribution made it less visible."
"The Great Raid","Action, Drama, History, War","Hard Mode","A historical war film with a moderate budget that did not achieve massive box office success."
"The Man Who Fell to Earth","Sci-Fi, Drama","Hard Mode","Iconic among cinephiles for David Bowie's performance, but remains an arthouse title."
"Midnight Special","Sci-Fi, Drama, Thriller","Hard Mode","A critically acclaimed sci-fi indie that reached a specific demographic but lacked broad appeal."
"Bad Words","Comedy, Drama","Hard Mode","A dark comedy directorial debut that is recognizable to comedy fans but not the general public."
"Judgment Night","Action, Crime, Thriller","Impossible Mode","A cult 90s action thriller that is largely forgotten by mainstream audiences."
"Men, Women & Children","Drama","Impossible Mode","An under-the-radar drama that performed poorly at the box office and saw limited cultural impact."
"Sudden Impact","Action, Crime, Thriller","Easy Mode","Part of the iconic Dirty Harry franchise starring Clint Eastwood."
"Respect","Biography, Drama, Music","Easy Mode","A high-profile biographical film about Aretha Franklin released recently."
"For Love of the Game","Drama, Romance, Sport","Easy Mode","A well-known sports drama starring Kevin Costner."
"The Bad Lieutenant: Port of Call - New Orleans","Crime, Drama, Mystery","Hard Mode","A cult classic with a very specific, niche audience compared to mainstream blockbusters."
"Retribution","Action, Thriller, Crime","Impossible Mode","The title is extremely generic, leading to dozens of films with this name that are largely obscure."
"Fatherhood","Drama, Comedy","Easy Mode","A widely distributed Netflix original starring Kevin Hart."
"Easy Virtue","Comedy, Drama, Romance","Hard Mode","An independent period comedy that appealed primarily to fans of British cinema."
"The Recruit","Action, Crime, Mystery, Thriller","Easy Mode","A mainstream spy thriller featuring A-list actors Al Pacino and Colin Farrell."
"Café Society","Comedy, Drama, Romance","Hard Mode","A Woody Allen film that received moderate attention but remains a niche art-house choice."
"Thoroughbreds","Dark Comedy, Psychological Thriller, Drama","Hard Mode","A dark thriller known to film buffs but not widely recognized by the general public."
"Silent Running","Sci-Fi, Drama","Hard Mode","A niche 70s science fiction film known by genre fans but not mainstream audiences."
"Airport","Drama, Action, Thriller","Easy Mode","A massive 1970s box office success and pioneer of the disaster movie genre."
"Peter Rabbit","Animation, Adventure, Comedy, Family, Fantasy","Easy Mode","A widely recognized contemporary family film based on globally famous children's literature."
"CBGB","Drama, History, Music","Hard Mode","A niche biographical drama centered on a specific music subculture."
"Dragonslayer","Fantasy, Action, Adventure","Hard Mode","A cult classic fantasy film that is well-regarded by genre enthusiasts but lacks mainstream notoriety."
"The Way of the Gun","Action, Crime, Thriller","Hard Mode","A gritty cult crime film known by cinephiles but largely overlooked by the general public."
"The Company of Wolves","Fantasy, Horror, Drama","Impossible Mode","An obscure British gothic fantasy horror film with a limited niche following."
"Man on a Ledge","Action, Crime, Thriller","Easy Mode","A mid-budget thriller that received broad theatrical distribution and home video play."
"The Red Sea Diving Resort","Drama, Thriller, History","Hard Mode","A Netflix original film that lacks the footprint of major theatrical blockbusters."
"Yentl","Musical, Romance, Drama","Easy Mode","A highly publicized musical directed by and starring Barbra Streisand, which was a significant cultural event upon release."
"High Art","Drama, Romance","Hard Mode","A cult indie drama known primarily among queer cinema and independent film enthusiasts."
"Hands of Stone","Biography, Drama, Sport","Easy Mode","A mainstream biographical sports film featuring major stars like Edgar Ramírez and Robert De Niro."
"Ripley's Game","Thriller, Crime, Drama","Hard Mode","While part of a famous literary series, this specific adaptation remains a niche thriller for fans of the character."
"Meet the Feebles","Comedy, Musical, Black Comedy","Hard Mode","A cult classic from Peter Jackson's early career, highly recognized by horror and puppet comedy fans but not the general public."
"Rock 'n' Roll High School","Comedy, Musical","Easy Mode","A widely recognized cult classic associated with the Ramones and punk rock history."
"Faster, Pussycat! Kill! Kill!","Action, Crime, Thriller","Hard Mode","An iconic cult exploitation film frequently referenced in pop culture but rarely viewed by mainstream audiences."
"New York, New York","Musical, Drama, Romance","Easy Mode","A Martin Scorsese film featuring iconic stars and a legendary title song."
"Auto Focus","Biography, Drama, Crime","Hard Mode","A critically praised but relatively low-profile biographical crime film about Bob Crane."
"The Homesman","Western, Drama","Hard Mode","A Tommy Lee Jones western that received critical acclaim but had limited mainstream exposure."
"Juliet, Naked","Romance, Comedy, Drama","Hard Mode","A modern independent romantic comedy-drama known to indie film followers but not as a global blockbuster."
"Arbitrage","Drama, Thriller, Crime","Hard Mode","A moderate independent thriller that received decent reviews but lacks broad mainstream cultural footprint."
"Brain on Fire","Biography, Drama","Easy Mode","Popularized by its availability on major streaming platforms and a recognizable lead actress."
"Irrational Man","Drama, Mystery, Crime","Hard Mode","A mid-tier Woody Allen film that is known among cinephiles but generally overlooked by the general public."
"The Mirror Has Two Faces","Romance, Comedy, Drama","Easy Mode","A well-known Barbra Streisand-directed romantic comedy that was a commercial success in the 90s."
"Luce","Drama, Mystery, Thriller","Hard Mode","An acclaimed indie drama that performed well in festivals but remained relatively niche to general audiences."
